id;file;file_content_type;uploaddate;notes;filetype
1;../fake-data/blob/hipster.png;image/png;2020-04-12T01:11:10;grey Focused;TXT
2;../fake-data/blob/hipster.png;image/png;2020-04-12T05:11:19;throughput Granite turquoise;JPEG
3;../fake-data/blob/hipster.png;image/png;2020-04-11T20:28:20;navigating holistic;PDF
4;../fake-data/blob/hipster.png;image/png;2020-04-11T13:16:50;bypass wireless Legacy;PDF
5;../fake-data/blob/hipster.png;image/png;2020-04-11T18:58:45;Pants yellow Vermont;TXT
6;../fake-data/blob/hipster.png;image/png;2020-04-11T14:17:16;Iraqi Dinar Polarised;JPEG
7;../fake-data/blob/hipster.png;image/png;2020-04-11T22:49:38;Profit-focused;JPEG
8;../fake-data/blob/hipster.png;image/png;2020-04-12T00:03:50;Montenegro copy;TXT
9;../fake-data/blob/hipster.png;image/png;2020-04-11T21:18:55;neural matrix Avon;TXT
10;../fake-data/blob/hipster.png;image/png;2020-04-11T16:07:23;radical Licensed Cheese;JPEG
